Algorithme;Coupe min;Nombre de contractions
karger_improved;20;164
karger_recursive;118;37
karger;9;28
karger_improved;3;163
karger_recursive;7;36
karger;1;7
karger_improved;1;15
karger_recursive;1;7
karger;73;33
karger_improved;9;191
karger_recursive;59;43
karger;9;11
karger_improved;7;34
karger_recursive;5;11
karger;25;9
karger_improved;8;18
karger_recursive;27;9
karger;169;29
karger_improved;22;164
karger_recursive;61;37
karger;81;18
karger_improved;13;76
karger_recursive;13;22
karger;1;22
karger_improved;1;90
karger_recursive;1;26
karger;102;36
karger_improved;6;260
karger_recursive;90;46
karger;189;32
karger_improved;32;190
karger_recursive;64;40
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;104;34
karger_improved;7;255
karger_recursive;24;44
karger;58;28
karger_improved;17;163
karger_recursive;34;36
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;41;15
karger_improved;13;57
karger_recursive;37;17
karger;6;21
karger_improved;4;89
karger_recursive;6;25
karger;4;12
karger_improved;6;35
karger_recursive;10;12
karger;73;18
karger_improved;19;76
karger_recursive;19;22
karger;9;4
karger_improved;8;6
karger_recursive;8;4
karger;65;31
karger_improved;4;188
karger_recursive;8;39
karger;10;20
karger_improved;1;85
karger_recursive;1;24
karger;0;36
karger_improved;0;198
karger_recursive;0;44
karger;44;15
karger_improved;7;57
karger_recursive;30;17
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;12;7
karger_improved;9;15
karger_recursive;10;7
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;0;3
karger_improved;0;4
karger_recursive;0;3
karger;146;25
karger_improved;18;156
karger_recursive;16;31
karger;3;8
karger_improved;2;17
karger_recursive;7;8
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;47;26
karger_improved;2;157
karger_recursive;7;32
karger;0;20
karger_improved;0;31
karger_recursive;0;20
karger;20;10
karger_improved;6;26
karger_recursive;19;10
karger;53;15
karger_improved;10;57
karger_recursive;44;17
karger;61;23
karger_improved;8;122
karger_recursive;32;29
karger;6;37
karger_improved;2;324
karger_recursive;45;47
karger;28;9
karger_improved;18;18
karger_recursive;30;9
karger;81;37
karger_improved;20;324
karger_recursive;18;47
karger;140;32
karger_improved;19;190
karger_recursive;19;40
karger;160;31
karger_improved;30;188
karger_recursive;58;39
karger;22;12
karger_improved;8;35
karger_recursive;5;12
karger;17;32
karger_improved;1;190
karger_recursive;1;40
karger;9;13
karger_improved;9;39
karger_recursive;20;15
karger;72;28
karger_improved;15;163
karger_recursive;74;36
karger;28;30
karger_improved;26;180
karger_recursive;51;38
karger;40;16
karger_improved;8;58
karger_recursive;20;18
karger;15;7
karger_improved;8;15
karger_recursive;14;7
karger;41;22
karger_improved;38;90
karger_recursive;21;26
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;68;16
karger_improved;41;58
karger_recursive;68;18
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;20;18
karger_improved;7;76
karger_recursive;11;22
karger;191;30
karger_improved;49;180
karger_recursive;75;38
karger;0;19
karger_improved;0;50
karger_recursive;0;19
karger;1;6
karger_improved;3;11
karger_recursive;1;6
karger;18;17
karger_improved;32;74
karger_recursive;69;19
karger;0;11
karger_improved;0;11
karger_recursive;0;11
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;73;24
karger_improved;13;124
karger_recursive;10;30
karger;105;32
karger_improved;25;190
karger_recursive;99;40
karger;19;21
karger_improved;15;89
karger_recursive;94;25
karger;2;18
karger_improved;1;76
karger_recursive;1;22
karger;3;26
karger_improved;1;157
karger_recursive;2;32
karger;22;19
karger_improved;6;77
karger_recursive;8;23
karger;0;11
karger_improved;0;13
karger_recursive;0;11
karger;118;24
karger_improved;17;124
karger_recursive;100;30
karger;5;23
karger_improved;2;122
karger_recursive;3;29
karger;131;22
karger_improved;21;90
karger_recursive;42;26
karger;81;34
karger_improved;20;255
karger_recursive;37;44
karger;59;23
karger_improved;10;122
karger_recursive;51;29
karger;19;20
karger_improved;3;85
karger_recursive;3;24
karger;9;30
karger_improved;3;180
karger_recursive;10;38
karger;236;36
karger_improved;19;260
karger_recursive;93;46
karger;60;35
karger_improved;13;259
karger_recursive;15;45
karger;29;15
karger_improved;4;57
karger_recursive;29;17
karger;12;8
karger_improved;2;17
karger_recursive;2;8
karger;33;12
karger_improved;7;35
karger_recursive;8;12
karger;52;24
karger_improved;5;124
karger_recursive;40;30
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;32
karger_improved;0;159
karger_recursive;0;40
karger;118;26
karger_improved;12;157
karger_recursive;25;32
karger;148;26
karger_improved;26;157
karger_recursive;46;32
karger;10;26
karger_improved;10;157
karger_recursive;10;32
karger;151;38
karger_improved;23;326
karger_recursive;134;50
karger;46;32
karger_improved;10;190
karger_recursive;47;40
karger;36;35
karger_improved;31;259
karger_recursive;179;45
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;10;17
karger_improved;2;74
karger_recursive;3;19
karger;38;19
karger_improved;5;77
karger_recursive;39;23
karger;7;4
karger_improved;5;6
karger_recursive;5;4
karger;0;32
karger_improved;0;190
karger_recursive;0;40
karger;53;35
karger_improved;25;259
karger_recursive;165;45
karger;17;15
karger_improved;3;57
karger_recursive;5;17
karger;24;9
karger_improved;24;18
karger_recursive;28;9
karger;7;4
karger_improved;4;6
karger_recursive;6;4
karger;0;20
karger_improved;0;73
karger_recursive;0;22
karger;66;32
karger_improved;16;190
karger_recursive;60;40
karger;212;37
karger_improved;18;324
karger_recursive;46;47
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;27;22
karger_improved;6;90
karger_recursive;2;26
karger;73;18
karger_improved;11;76
karger_recursive;17;22
karger;0;14
karger_improved;0;41
karger_recursive;0;14
karger;2;5
karger_improved;2;7
karger_recursive;2;5
