a;Coupe min;Nombre de contractions;Rapport
1,5;22;126;0,174603175
1,6;20;81;0,24691358
1,7;53;66;0,803030303
1,8;53;59;0,898305085
1,9;33;52;0,634615385
2;49;52;0,942307692
2,1;52;45;1,155555556
2,2;52;42;1,238095238
2,3;78;42;1,857142857
2,4;17;39;0,435897436
2,5;17;39;0,435897436
2,6;37;36;1,027777778
2,7;48;36;1,333333333
2,8;34;36;0,944444444
2,9;76;35;2,171428571
3;54;35;1,542857143
3,1;56;33;1,696969697
3,2;23;32;0,71875
3,3;129;32;4,03125
3,4;133;32;4,15625
3,5;93;32;2,90625
3,6;46;31;1,483870968
3,7;77;31;2,483870968
3,8;64;31;2,064516129
3,9;20;31;0,64516129
4;119;31;3,838709677
4,1;40;30;1,333333333
4,3;71;30;2,366666667
4,5;93;30;3,1
4,6;105;30;3,5
4,8;127;29;4,379310345
5;132;29;4,551724138
1,1;0;0;#DIV/0!
1,2;0;0;#DIV/0!
1,3;0;0;#DIV/0!
1,4;0;0;#DIV/0!
1,5;0;0;#DIV/0!
1,6;0;0;#DIV/0!
1,7;0;0;#DIV/0!
1,8;0;0;#DIV/0!
1,9;0;0;#DIV/0!
2;0;0;#DIV/0!
2,1;0;0;#DIV/0!
2,2;0;0;#DIV/0!
2,3;0;0;#DIV/0!
2,4;0;0;#DIV/0!
2,5;0;0;#DIV/0!
2,6;0;0;#DIV/0!
2,7;0;0;#DIV/0!
2,8;0;0;#DIV/0!
2,9;0;0;#DIV/0!
3;0;0;#DIV/0!
3,1;0;0;#DIV/0!
3,2;0;0;#DIV/0!
3,3;0;0;#DIV/0!
3,4;0;0;#DIV/0!
3,5;0;0;#DIV/0!
3,6;0;0;#DIV/0!
3,7;0;0;#DIV/0!
3,8;0;0;#DIV/0!
3,9;0;0;#DIV/0!
4;0;0;#DIV/0!
4,1;0;0;#DIV/0!
4,3;0;0;#DIV/0!
4,5;0;0;#DIV/0!
4,6;0;0;#DIV/0!
4,8;0;0;#DIV/0!
5;0;0;#DIV/0!
1,1;6;2062;0,002909796
1,2;6;289;0,020761246
1,3;12;88;0,136363636
1,4;13;57;0,228070175
1,5;19;42;0,452380952
1,6;8;35;0,228571429
1,7;37;29;1,275862069
1,8;21;26;0,807692308
1,9;6;25;0,24
2;30;25;1,2
2,1;31;23;1,347826087
2,2;9;22;0,409090909
2,3;38;22;1,727272727
2,4;9;20;0,45
2,5;11;19;0,578947368
2,6;10;19;0,526315789
2,7;27;19;1,421052632
2,8;41;19;2,157894737
2,9;12;18;0,666666667
3;42;18;2,333333333
3,1;40;18;2,222222222
3,2;20;18;1,111111111
3,3;26;18;1,444444444
3,4;29;18;1,611111111
3,5;39;17;2,294117647
3,6;15;17;0,882352941
3,7;6;17;0,352941176
3,8;42;17;2,470588235
3,9;43;17;2,529411765
4;28;17;1,647058824
4,1;17;17;1
4,3;26;16;1,625
4,5;40;16;2,5
4,6;36;16;2,25
4,8;20;16;1,25
5;37;16;2,3125
1,1;9;1026;0,00877193
1,2;11;143;0,076923077
1,3;11;50;0,22
1,4;11;50;0,22
1,5;11;35;0,314285714
1,6;13;22;0,590909091
1,7;23;22;1,045454545
1,8;20;19;1,052631579
1,9;29;19;1,526315789
2;23;19;1,210526316
2,1;18;16;1,125
2,2;12;16;0,75
2,3;38;16;2,375
2,4;29;15;1,933333333
2,5;34;15;2,266666667
2,6;20;15;1,333333333
2,7;9;15;0,6
2,8;37;15;2,466666667
2,9;11;14;0,785714286
3;40;14;2,857142857
3,1;34;14;2,428571429
3,2;11;14;0,785714286
3,3;12;14;0,857142857
3,4;12;14;0,857142857
3,5;10;14;0,714285714
3,6;11;13;0,846153846
3,7;41;13;3,153846154
3,8;30;13;2,307692308
3,9;21;13;1,615384615
4;30;13;2,307692308
4,1;41;13;3,153846154
4,3;26;13;2
4,5;11;13;0,846153846
4,6;41;13;3,153846154
4,8;43;12;3,583333333
5;41;12;3,416666667
1,1;2;33029;6,05528E-05
