a;b;Coupe min;Nombre de contractions
3,5;5;0;0
3,5;6;0;0
3,6;2;0;0
3,6;3;0;0
3,6;4;0;0
3,6;5;0;0
3,6;6;0;0
3,7;2;0;0
3,7;3;0;0
3,7;4;0;0
3,7;5;0;0
3,7;6;0;0
3,8;2;0;0
3,8;3;0;0
3,8;4;0;0
3,8;5;0;0
3,8;6;0;0
3,9;2;0;0
3,9;3;0;0
3,9;4;0;0
3,9;5;0;0
3,9;6;0;0
4;2;0;0
4;3;0;0
4;4;0;0
4;5;0;0
4;6;0;0
4,1;2;0;0
4,1;3;0;0
4,1;4;0;0
4,1;5;0;0
4,1;6;0;0
4,2;2;0;0
4,2;3;0;0
4,2;4;0;0
4,2;5;0;0
4,2;6;0;0
4,3;2;0;0
4,3;3;0;0
4,3;4;0;0
4,3;5;0;0
4,3;6;0;0
4,4;2;0;0
4,4;3;0;0
4,4;4;0;0
4,4;5;0;0
4,4;6;0;0
4,5;2;0;0
4,5;3;0;0
4,5;4;0;0
4,5;5;0;0
4,5;6;0;0
4,6;2;0;0
4,6;3;0;0
4,6;4;0;0
4,6;5;0;0
4,6;6;0;0
4,7;2;0;0
4,7;3;0;0
4,7;4;0;0
4,7;5;0;0
4,7;6;0;0
4,8;2;0;0
4,8;3;0;0
4,8;4;0;0
4,8;5;0;0
4,8;6;0;0
4,9;2;0;0
4,9;3;0;0
4,9;4;0;0
4,9;5;0;0
4,9;6;0;0
5;2;0;0
5;3;0;0
5;4;0;0
5;5;0;0
5;6;0;0
5,1;2;0;0
5,1;3;0;0
5,1;4;0;0
5,1;5;0;0
5,1;6;0;0
2,2;2;9;37
2,2;3;31;54
2,2;4;25;75
2,2;5;11;100
2,2;6;8;129
2,3;2;20;37
2,3;3;10;54
2,3;4;7;75
2,3;5;10;100
2,3;6;7;129
2,4;2;35;36
2,4;3;9;52
2,4;4;10;72
2,4;5;9;96
2,4;6;9;124
2,5;2;20;36
2,5;3;9;52
2,5;4;9;72
2,5;5;7;96
2,5;6;11;124
2,6;2;9;33
2,6;3;7;44
2,6;4;19;57
2,6;5;10;72
2,6;6;10;89
2,7;2;40;33
2,7;3;7;44
2,7;4;10;57
2,7;5;9;72
2,7;6;12;89
2,8;2;8;33
2,8;3;12;44
2,8;4;17;57
2,8;5;8;72
2,8;6;8;89
2,9;2;46;30
2,9;3;23;36
2,9;4;17;42
2,9;5;7;48
2,9;6;11;54
3;2;51;30
3;3;9;36
3;4;7;42
3;5;22;48
3;6;9;54
3,1;2;10;30
3,1;3;53;36
3,1;4;35;42
3,1;5;12;48
3,1;6;7;54
3,2;2;44;30
3,2;3;9;36
3,2;4;38;42
3,2;5;49;48
3,2;6;10;54
3,3;2;60;29
3,3;3;46;34
3,3;4;10;39
3,3;5;12;44
3,3;6;62;49
3,4;2;45;29
3,4;3;12;34
3,4;4;49;39
3,4;5;10;44
3,4;6;10;49
3,5;2;53;29
3,5;3;10;34
3,5;4;11;39
3,5;5;11;44
3,5;6;7;49
3,6;2;28;29
3,6;3;8;34
3,6;4;8;39
3,6;5;35;44
3,6;6;42;49
3,7;2;12;29
3,7;3;20;34
3,7;4;43;39
3,7;5;19;44
3,7;6;19;49
3,8;2;34;28
3,8;3;31;32
3,8;4;9;36
3,8;5;10;40
3,8;6;10;44
3,9;2;52;28
3,9;3;9;32
3,9;4;27;36
3,9;5;39;40
3,9;6;9;44
4;2;62;28
4;3;30;32
4;4;55;36
4;5;20;40
4;6;10;44
4,1;2;21;28
4,1;3;8;32
4,1;4;8;36
4,1;5;18;40
4,1;6;17;44
4,2;2;11;28
4,2;3;8;32
4,2;4;11;36
4,2;5;17;40
4,2;6;11;44
4,3;2;11;28
4,3;3;52;32
4,3;4;23;36
4,3;5;20;40
4,3;6;34;44
4,4;2;59;27
4,4;3;26;30
4,4;4;16;33
4,4;5;9;36
4,4;6;10;39
4,5;2;53;27
4,5;3;12;30
4,5;4;10;33
4,5;5;9;36
4,5;6;29;39
4,6;2;66;27
4,6;3;10;30
4,6;4;44;33
4,6;5;7;36
4,6;6;11;39
4,7;2;18;27
4,7;3;19;30
4,7;4;10;33
4,7;5;43;36
4,7;6;9;39
4,8;2;44;27
4,8;3;7;30
4,8;4;11;33
4,8;5;31;36
4,8;6;8;39
4,9;2;44;27
4,9;3;10;30
4,9;4;9;33
4,9;5;48;36
4,9;6;11;39
5;2;61;27
5;3;12;30
5;4;17;33
5;5;8;36
5;6;24;39
5,1;2;50;27
5,1;3;11;30
5,1;4;7;33
5,1;5;9;36
5,1;6;9;39
2,2;2;1;7
2,2;3;1;8
2,2;4;1;9
2,2;5;1;10
2,2;6;1;11
2,3;2;1;7
2,3;3;1;8
2,3;4;1;9
2,3;5;1;10
2,3;6;1;11
2,4;2;1;7
2,4;3;1;8
2,4;4;1;9
2,4;5;1;10
2,4;6;1;11
2,5;2;1;7
2,5;3;1;8
2,5;4;1;9
2,5;5;1;10
2,5;6;1;11
2,6;2;1;7
2,6;3;1;8
2,6;4;1;9
2,6;5;1;10
2,6;6;1;11
2,7;2;1;6
2,7;3;1;6
2,7;4;1;6
2,7;5;1;6
2,7;6;1;6
2,8;2;1;6
2,8;3;1;6
2,8;4;1;6
2,8;5;1;6
2,8;6;1;6
2,9;2;1;6
2,9;3;1;6
2,9;4;1;6
2,9;5;1;6
2,9;6;1;6
3;2;1;6
3;3;1;6
3;4;1;6
3;5;1;6
3;6;1;6
3,1;2;1;6
3,1;3;1;6
3,1;4;1;6
3,1;5;1;6
3,1;6;1;6
3,2;2;1;6
3,2;3;1;6
3,2;4;1;6
3,2;5;1;6
3,2;6;1;6
3,3;2;1;6
3,3;3;1;6
3,3;4;1;6
3,3;5;1;6
3,3;6;1;6
3,4;2;1;6
3,4;3;1;6
3,4;4;1;6
3,4;5;1;6
3,4;6;1;6
3,5;2;1;6
3,5;3;1;6
3,5;4;1;6
3,5;5;1;6
3,5;6;1;6
3,6;2;1;6
3,6;3;1;6
3,6;4;1;6
3,6;5;1;6
3,6;6;1;6
3,7;2;1;6
3,7;3;1;6
3,7;4;1;6
3,7;5;1;6
3,7;6;1;6
3,8;2;1;6
3,8;3;1;6
3,8;4;1;6
3,8;5;1;6
3,8;6;1;6
3,9;2;1;6
3,9;3;1;6
3,9;4;1;6
3,9;5;1;6
3,9;6;1;6
4;2;1;6
4;3;1;6
4;4;1;6
4;5;1;6
4;6;1;6
4,1;2;1;6
4,1;3;1;6
4,1;4;1;6
4,1;5;1;6
4,1;6;1;6
4,2;2;1;6
4,2;3;1;6
4,2;4;1;6
4,2;5;1;6
4,2;6;1;6
4,3;2;1;6
4,3;3;1;6
4,3;4;1;6
4,3;5;1;6
4,3;6;1;6
4,4;2;1;6
4,4;3;1;6
4,4;4;1;6
4,4;5;1;6
4,4;6;1;6
4,5;2;1;6
4,5;3;1;6
4,5;4;1;6
4,5;5;1;6
4,5;6;1;6
4,6;2;1;6
4,6;3;1;6
4,6;4;1;6
4,6;5;1;6
4,6;6;1;6
4,7;2;1;6
4,7;3;1;6
4,7;4;1;6
4,7;5;1;6
4,7;6;1;6
4,8;2;1;6
4,8;3;1;6
4,8;4;1;6
4,8;5;1;6
4,8;6;1;6
4,9;2;1;6
4,9;3;1;6
4,9;4;1;6
4,9;5;1;6
4,9;6;1;6
5;2;1;6
5;3;1;6
5;4;1;6
5;5;1;6
5;6;1;6
5,1;2;1;6
5,1;3;1;6
5,1;4;1;6
5,1;5;1;6
5,1;6;1;6
2,2;2;2;44
2,2;3;1;67
2,2;4;1;96
2,2;5;1;131
2,2;6;1;172
2,3;2;1;43
2,3;3;1;65
2,3;4;1;93
2,3;5;1;127
2,3;6;1;167
2,4;2;1;43
2,4;3;1;65
2,4;4;1;93
2,4;5;1;127
2,4;6;1;167
2,5;2;1;40
2,5;3;1;57
2,5;4;1;78
2,5;5;1;103
2,5;6;1;132
2,6;2;1;40
2,6;3;1;57
2,6;4;1;78
2,6;5;1;103
2,6;6;1;132
2,7;2;1;37
2,7;3;1;49
2,7;4;1;63
2,7;5;1;79
2,7;6;1;97
2,8;2;1;37
2,8;3;1;49
2,8;4;1;63
2,8;5;1;79
2,8;6;1;97
2,9;2;1;37
2,9;3;1;49
2,9;4;1;63
2,9;5;2;79
2,9;6;1;97
3;2;1;36
3;3;1;47
3;4;1;60
3;5;1;75
3;6;1;92
3,1;2;4;34
3,1;3;1;41
3,1;4;1;48
3,1;5;1;55
3,1;6;1;62
3,2;2;1;34
3,2;3;1;41
3,2;4;4;48
3,2;5;1;55
3,2;6;1;62
3,3;2;1;33
3,3;3;1;39
3,3;4;1;45
3,3;5;1;51
3,3;6;2;57
3,4;2;1;33
3,4;3;1;39
3,4;4;1;45
3,4;5;1;51
3,4;6;1;57
3,5;2;2;33
3,5;3;1;39
3,5;4;1;45
3,5;5;1;51
3,5;6;1;57
3,6;2;3;33
3,6;3;1;39
3,6;4;1;45
3,6;5;2;51
3,6;6;1;57
3,7;2;2;32
3,7;3;1;37
3,7;4;1;42
3,7;5;1;47
3,7;6;1;52
3,8;2;7;32
3,8;3;2;37
3,8;4;1;42
3,8;5;1;47
3,8;6;1;52
3,9;2;2;32
3,9;3;1;37
3,9;4;1;42
3,9;5;1;47
3,9;6;1;52
4;2;4;32
4;3;1;37
4;4;1;42
4;5;2;47
4;6;1;52
4,1;2;2;32
4,1;3;1;37
4,1;4;1;42
4,1;5;1;47
4,1;6;2;52
4,2;2;2;31
4,2;3;1;35
4,2;4;1;39
4,2;5;2;43
4,2;6;1;47
4,3;2;1;31
4,3;3;1;35
4,3;4;1;39
4,3;5;1;43
4,3;6;1;47
4,4;2;3;31
4,4;3;3;35
4,4;4;1;39
4,4;5;1;43
4,4;6;1;47
4,5;2;2;31
4,5;3;1;35
4,5;4;4;39
4,5;5;1;43
4,5;6;1;47
4,6;2;1;31
4,6;3;1;35
4,6;4;1;39
4,6;5;1;43
4,6;6;1;47
4,7;2;2;31
4,7;3;2;35
4,7;4;2;39
4,7;5;1;43
4,7;6;1;47
4,8;2;2;31
4,8;3;1;35
4,8;4;1;39
4,8;5;1;43
4,8;6;2;47
4,9;2;1;30
4,9;3;1;33
4,9;4;3;36
4,9;5;1;39
4,9;6;1;42
5;2;5;30
5;3;9;33
5;4;1;36
5;5;1;39
5;6;1;42
5,1;2;2;30
5,1;3;1;33
5,1;4;1;36
5,1;5;1;39
5,1;6;3;42
2,2;2;0;33
2,2;3;0;49
2,2;4;0;69
2,2;5;0;93
2,2;6;0;121
2,3;2;0;33
2,3;3;0;49
2,3;4;0;69
2,3;5;0;93
2,3;6;0;121
2,4;2;0;30
2,4;3;0;41
2,4;4;0;54
2,4;5;0;69
2,4;6;0;86
2,5;2;0;30
2,5;3;0;41
2,5;4;0;54
2,5;5;0;69
2,5;6;0;86
2,6;2;0;29
2,6;3;0;39
2,6;4;0;51
2,6;5;0;65
2,6;6;0;81
2,7;2;0;27
2,7;3;0;33
2,7;4;0;39
2,7;5;0;45
2,7;6;0;51
2,8;2;0;27
2,8;3;0;33
2,8;4;0;39
2,8;5;0;45
2,8;6;0;51
2,9;2;0;26
2,9;3;0;31
2,9;4;0;36
2,9;5;0;41
2,9;6;0;46
3;2;0;26
3;3;0;31
3;4;0;36
3;5;0;41
3;6;0;46
3,1;2;0;26
3,1;3;0;31
3,1;4;0;36
3,1;5;0;41
3,1;6;0;46
3,2;2;0;26
3,2;3;0;31
3,2;4;0;36
3,2;5;0;41
3,2;6;0;46
3,3;2;0;25
3,3;3;0;29
3,3;4;0;33
3,3;5;0;37
3,3;6;0;41
3,4;2;0;25
3,4;3;0;29
3,4;4;0;33
3,4;5;0;37
3,4;6;0;41
3,5;2;0;25
3,5;3;0;29
3,5;4;0;33
3,5;5;0;37
3,5;6;0;41
3,6;2;0;25
3,6;3;0;29
3,6;4;0;33
3,6;5;0;37
3,6;6;0;41
3,7;2;0;25
3,7;3;0;29
3,7;4;0;33
3,7;5;0;37
3,7;6;0;41
3,8;2;0;25
3,8;3;0;29
3,8;4;0;33
3,8;5;0;37
3,8;6;0;41
3,9;2;0;24
3,9;3;0;27
3,9;4;0;30
3,9;5;0;33
3,9;6;0;36
4;2;0;24
4;3;0;27
4;4;0;30
4;5;0;33
4;6;0;36
4,1;2;0;24
4,1;3;0;27
4,1;4;0;30
4,1;5;0;33
4,1;6;0;36
4,2;2;0;24
4,2;3;0;27
4,2;4;0;30
4,2;5;0;33
4,2;6;0;36
4,3;2;0;24
4,3;3;0;27
4,3;4;0;30
4,3;5;0;33
4,3;6;0;36
4,4;2;0;24
4,4;3;0;27
4,4;4;0;30
4,4;5;0;33
4,4;6;0;36
4,5;2;0;24
4,5;3;0;27
4,5;4;0;30
4,5;5;0;33
4,5;6;0;36
4,6;2;0;24
4,6;3;0;27
4,6;4;0;30
4,6;5;0;33
4,6;6;0;36
4,7;2;0;23
4,7;3;0;25
4,7;4;0;27
4,7;5;0;29
4,7;6;0;31
4,8;2;0;23
4,8;3;0;25
4,8;4;0;27
4,8;5;0;29
4,8;6;0;31
4,9;2;0;23
4,9;3;0;25
4,9;4;0;27
4,9;5;0;29
4,9;6;0;31
5;2;0;23
5;3;0;25
5;4;0;27
5;5;0;29
5;6;0;31
5,1;2;0;23
5,1;3;0;25
5,1;4;0;27
5,1;5;0;29
5,1;6;0;31
2,2;2;2;10
2,2;3;4;12
2,2;4;4;14
2,2;5;2;16
2,2;6;3;18
2,3;2;4;10
2,3;3;5;12
2,3;4;3;14
2,3;5;3;16
2,3;6;2;18
2,4;2;3;10
2,4;3;5;12
2,4;4;5;14
2,4;5;4;16
2,4;6;5;18
2,5;2;6;10
2,5;3;4;12
2,5;4;4;14
2,5;5;2;16
2,5;6;4;18
2,6;2;4;9
2,6;3;3;10
2,6;4;3;11
2,6;5;2;12
2,6;6;4;13
2,7;2;4;9
2,7;3;5;10
2,7;4;4;11
2,7;5;5;12
2,7;6;2;13
2,8;2;2;9
2,8;3;2;10
2,8;4;3;11
2,8;5;5;12
2,8;6;4;13
2,9;2;4;9
2,9;3;9;10
2,9;4;9;11
2,9;5;4;12
2,9;6;4;13
3;2;2;9
3;3;4;10
3;4;4;11
3;5;6;12
3;6;4;13
3,1;2;4;9
3,1;3;2;10
3,1;4;3;11
3,1;5;6;12
3,1;6;7;13
3,2;2;6;9
3,2;3;2;10
3,2;4;3;11
3,2;5;3;12
3,2;6;6;13
3,3;2;4;9
3,3;3;3;10
3,3;4;2;11
3,3;5;3;12
3,3;6;2;13
3,4;2;8;8
3,4;3;7;8
3,4;4;4;8
3,4;5;8;8
3,4;6;4;8
3,5;2;7;8
3,5;3;7;8
3,5;4;6;8
3,5;5;7;8
3,5;6;7;8
3,6;2;7;8
3,6;3;4;8
3,6;4;9;8
3,6;5;9;8
3,6;6;8;8
3,7;2;5;8
3,7;3;2;8
3,7;4;8;8
3,7;5;6;8
3,7;6;2;8
3,8;2;8;8
3,8;3;4;8
3,8;4;5;8
3,8;5;5;8
3,8;6;7;8
3,9;2;4;8
3,9;3;4;8
3,9;4;9;8
3,9;5;7;8
3,9;6;2;8
4;2;5;8
4;3;6;8
4;4;5;8
4;5;5;8
4;6;5;8
4,1;2;6;8
4,1;3;2;8
4,1;4;9;8
4,1;5;5;8
4,1;6;2;8
4,2;2;5;8
4,2;3;3;8
4,2;4;5;8
4,2;5;5;8
4,2;6;7;8
4,3;2;2;8
4,3;3;4;8
4,3;4;5;8
4,3;5;5;8
4,3;6;6;8
4,4;2;6;8
4,4;3;7;8
4,4;4;4;8
4,4;5;7;8
4,4;6;4;8
4,5;2;10;8
4,5;3;4;8
4,5;4;6;8
4,5;5;4;8
4,5;6;2;8
4,6;2;5;8
4,6;3;4;8
4,6;4;3;8
4,6;5;3;8
4,6;6;4;8
4,7;2;5;8
4,7;3;7;8
4,7;4;9;8
4,7;5;2;8
4,7;6;2;8
4,8;2;3;8
4,8;3;5;8
4,8;4;11;8
4,8;5;7;8
4,8;6;9;8
4,9;2;5;8
4,9;3;7;8
4,9;4;4;8
4,9;5;4;8
4,9;6;10;8
5;2;7;8
5;3;2;8
5;4;5;8
5;5;9;8
5;6;4;8
5,1;2;5;8
5,1;3;4;8
5,1;4;10;8
5,1;5;2;8
5,1;6;5;8
2,2;2;6;16
2,2;3;1;20
2,2;4;2;24
2,2;5;2;28
2,2;6;1;32
2,3;2;1;16
2,3;3;2;20
2,3;4;2;24
2,3;5;1;28
2,3;6;1;32
2,4;2;2;15
2,4;3;2;18
2,4;4;2;21
2,4;5;2;24
2,4;6;2;27
2,5;2;2;15
2,5;3;2;18
2,5;4;2;21
2,5;5;2;24
2,5;6;3;27
2,6;2;2;15
2,6;3;2;18
2,6;4;2;21
2,6;5;3;24
2,6;6;1;27
2,7;2;3;15
2,7;3;2;18
2,7;4;2;21
2,7;5;2;24
2,7;6;1;27
2,8;2;1;15
2,8;3;1;18
2,8;4;1;21
2,8;5;1;24
2,8;6;1;27
2,9;2;1;14
2,9;3;2;16
2,9;4;2;18
2,9;5;1;20
2,9;6;1;22
3;2;1;14
3;3;2;16
3;4;2;18
3;5;2;20
3;6;2;22
3,1;2;1;14
3,1;3;4;16
3,1;4;1;18
3,1;5;2;20
3,1;6;1;22
3,2;2;2;14
3,2;3;2;16
3,2;4;2;18
3,2;5;2;20
3,2;6;1;22
3,3;2;2;14
3,3;3;1;16
3,3;4;2;18
3,3;5;2;20
3,3;6;1;22
3,4;2;2;14
3,4;3;2;16
3,4;4;1;18
3,4;5;2;20
3,4;6;1;22
3,5;2;2;14
3,5;3;2;16
3,5;4;3;18
3,5;5;1;20
3,5;6;2;22
3,6;2;6;13
3,6;3;3;14
3,6;4;4;15
3,6;5;3;16
3,6;6;2;17
3,7;2;2;13
3,7;3;2;14
3,7;4;2;15
3,7;5;2;16
3,7;6;3;17
3,8;2;6;13
3,8;3;2;14
3,8;4;2;15
3,8;5;1;16
3,8;6;5;17
3,9;2;3;13
3,9;3;1;14
3,9;4;2;15
3,9;5;2;16
3,9;6;4;17
4;2;3;13
4;3;2;14
4;4;2;15
4;5;3;16
4;6;6;17
4,1;2;6;13
4,1;3;1;14
4,1;4;2;15
4,1;5;5;16
4,1;6;3;17
4,2;2;1;13
4,2;3;2;14
4,2;4;2;15
4,2;5;4;16
4,2;6;3;17
4,3;2;3;13
4,3;3;1;14
4,3;4;1;15
4,3;5;2;16
4,3;6;4;17
4,4;2;2;13
4,4;3;2;14
4,4;4;1;15
4,4;5;5;16
4,4;6;2;17
4,5;2;2;13
4,5;3;2;14
4,5;4;1;15
4,5;5;1;16
4,5;6;3;17
4,6;2;1;13
4,6;3;4;14
4,6;4;6;15
4,6;5;1;16
4,6;6;1;17
4,7;2;6;12
4,7;3;2;12
4,7;4;6;12
4,7;5;5;12
4,7;6;3;12
4,8;2;6;12
4,8;3;2;12
4,8;4;6;12
4,8;5;6;12
4,8;6;6;12
4,9;2;5;12
4,9;3;2;12
4,9;4;5;12
4,9;5;6;12
4,9;6;5;12
5;2;1;12
5;3;4;12
5;4;3;12
5;5;6;12
5;6;2;12
5,1;2;2;12
5,1;3;5;12
5,1;4;4;12
5,1;5;2;12
5,1;6;7;12
2,2;2;15;41
2,2;3;12;63
2,2;4;16;91
2,2;5;14;125
2,2;6;14;165
2,3;2;79;38
2,3;3;19;55
2,3;4;10;76
2,3;5;10;101
2,3;6;15;130
2,4;2;17;38
2,4;3;19;55
2,4;4;19;76
2,4;5;31;101
2,4;6;16;130
2,5;2;15;37
2,5;3;17;53
2,5;4;12;73
2,5;5;12;97
2,5;6;10;125
2,6;2;60;35
2,6;3;65;47
2,6;4;17;61
2,6;5;18;77
2,6;6;12;95
2,7;2;19;34
2,7;3;28;45
2,7;4;29;58
2,7;5;17;73
2,7;6;12;90
2,8;2;29;34
2,8;3;10;45
2,8;4;19;58
2,8;5;15;73
2,8;6;15;90
2,9;2;94;34
2,9;3;12;45
2,9;4;22;58
2,9;5;17;73
2,9;6;15;90
3;2;85;34
3;3;97;45
3;4;19;58
3;5;17;73
3;6;14;90
3,1;2;10;31
3,1;3;31;37
3,1;4;94;43
3,1;5;93;49
3,1;6;19;55
3,2;2;87;31
3,2;3;64;37
3,2;4;79;43
3,2;5;12;49
3,2;6;15;55
3,3;2;86;31
3,3;3;52;37
3,3;4;18;43
3,3;5;12;49
3,3;6;16;55
3,4;2;53;30
3,4;3;80;35
3,4;4;48;40
3,4;5;55;45
3,4;6;44;50
3,5;2;105;30
3,5;3;18;35
3,5;4;10;40
3,5;5;53;45
3,5;6;32;50
3,6;2;70;30
3,6;3;32;35
3,6;4;63;40
3,6;5;27;45
3,6;6;30;50
3,7;2;10;30
3,7;3;29;35
3,7;4;55;40
3,7;5;86;45
3,7;6;15;50
3,8;2;17;30
3,8;3;49;35
3,8;4;14;40
3,8;5;19;45
3,8;6;14;50
3,9;2;19;29
3,9;3;14;33
3,9;4;32;37
3,9;5;69;41
3,9;6;17;45
4;2;12;29
4;3;19;33
4;4;14;37
4;5;32;41
4;6;40;45
4,1;2;94;29
4,1;3;65;33
4,1;4;31;37
4,1;5;17;41
4,1;6;27;45
4,2;2;16;29
4,2;3;30;33
4,2;4;35;37
4,2;5;16;41
4,2;6;40;45
4,3;2;79;29
4,3;3;14;33
4,3;4;14;37
4,3;5;73;41
4,3;6;48;45
4,4;2;99;29
4,4;3;15;33
4,4;4;31;37
4,4;5;14;41
4,4;6;18;45
4,5;2;45;29
4,5;3;19;33
4,5;4;46;37
4,5;5;24;41
4,5;6;14;45
4,6;2;58;28
4,6;3;53;31
4,6;4;95;34
4,6;5;18;37
4,6;6;22;40
4,7;2;45;28
4,7;3;31;31
4,7;4;57;34
4,7;5;67;37
4,7;6;28;40
4,8;2;18;28
4,8;3;29;31
4,8;4;14;34
4,8;5;10;37
4,8;6;55;40
4,9;2;15;28
4,9;3;30;31
4,9;4;34;34
4,9;5;38;37
4,9;6;68;40
5;2;71;28
5;3;17;31
5;4;43;34
5;5;19;37
5;6;55;40
5,1;2;46;28
5,1;3;96;31
5,1;4;58;34
5,1;5;34;37
5,1;6;10;40
2,2;2;14;11
2,2;3;11;13
2,2;4;16;15
2,2;5;12;17
2,2;6;7;19
2,3;2;7;11
2,3;3;12;13
2,3;4;6;15
2,3;5;16;17
2,3;6;8;19
2,4;2;6;11
2,4;3;17;13
2,4;4;6;15
2,4;5;6;17
2,4;6;7;19
2,5;2;6;11
2,5;3;15;13
2,5;4;15;15
2,5;5;7;17
2,5;6;7;19
2,6;2;6;11
2,6;3;19;13
2,6;4;16;15
2,6;5;11;17
2,6;6;8;19
2,7;2;6;11
2,7;3;7;13
2,7;4;6;15
2,7;5;16;17
2,7;6;7;19
2,8;2;7;10
2,8;3;12;11
2,8;4;16;12
2,8;5;16;13
2,8;6;11;14
2,9;2;16;10
2,9;3;6;11
2,9;4;12;12
2,9;5;6;13
2,9;6;15;14
3;2;6;10
3;3;15;11
3;4;7;12
3;5;8;13
3;6;17;14
3,1;2;18;10
3,1;3;18;11
3,1;4;7;12
3,1;5;7;13
3,1;6;7;14
3,2;2;20;10
3,2;3;13;11
3,2;4;7;12
3,2;5;7;13
3,2;6;15;14
3,3;2;7;10
3,3;3;11;11
3,3;4;12;12
3,3;5;7;13
3,3;6;8;14
3,4;2;16;10
3,4;3;7;11
3,4;4;13;12
3,4;5;18;13
3,4;6;14;14
3,5;2;14;10
3,5;3;7;11
3,5;4;7;12
3,5;5;6;13
3,5;6;7;14
3,6;2;16;10
3,6;3;7;11
3,6;4;16;12
3,6;5;8;13
3,6;6;6;14
3,7;2;7;9
3,7;3;15;9
3,7;4;20;9
3,7;5;7;9
3,7;6;7;9
3,8;2;12;9
3,8;3;7;9
3,8;4;6;9
3,8;5;18;9
3,8;6;7;9
3,9;2;7;9
3,9;3;21;9
3,9;4;7;9
3,9;5;21;9
3,9;6;12;9
4;2;11;9
4;3;7;9
4;4;22;9
4;5;18;9
4;6;7;9
4,1;2;17;9
4,1;3;20;9
4,1;4;17;9
4,1;5;12;9
4,1;6;17;9
4,2;2;7;9
4,2;3;15;9
4,2;4;19;9
4,2;5;7;9
4,2;6;6;9
4,3;2;11;9
4,3;3;7;9
4,3;4;7;9
4,3;5;18;9
4,3;6;18;9
4,4;2;17;9
4,4;3;7;9
4,4;4;15;9
4,4;5;21;9
4,4;6;16;9
4,5;2;7;9
4,5;3;6;9
4,5;4;14;9
4,5;5;7;9
4,5;6;18;9
4,6;2;22;9
4,6;3;11;9
4,6;4;14;9
4,6;5;13;9
4,6;6;7;9
4,7;2;21;9
4,7;3;19;9
4,7;4;8;9
4,7;5;7;9
4,7;6;22;9
4,8;2;6;9
4,8;3;7;9
4,8;4;16;9
4,8;5;6;9
4,8;6;17;9
4,9;2;21;9
4,9;3;15;9
4,9;4;17;9
4,9;5;22;9
4,9;6;19;9
5;2;18;9
5;3;16;9
5;4;17;9
5;5;12;9
5;6;6;9
5,1;2;11;9
5,1;3;15;9
5,1;4;8;9
5,1;5;14;9
5,1;6;15;9
2,2;2;13;11
2,2;3;15;13
2,2;4;6;15
2,2;5;16;17
2,2;6;7;19
2,3;2;18;11
2,3;3;4;13
2,3;4;14;15
2,3;5;7;17
2,3;6;8;19
2,4;2;6;11
2,4;3;6;13
2,4;4;6;15
2,4;5;5;17
2,4;6;6;19
2,5;2;11;11
2,5;3;4;13
2,5;4;10;15
2,5;5;7;17
2,5;6;5;19
2,6;2;19;11
2,6;3;14;13
2,6;4;4;15
2,6;5;6;17
2,6;6;6;19
2,7;2;9;11
2,7;3;14;13
2,7;4;5;15
2,7;5;5;17
2,7;6;16;19
2,8;2;8;10
2,8;3;16;11
2,8;4;6;12
2,8;5;4;13
2,8;6;4;14
2,9;2;7;10
2,9;3;8;11
2,9;4;12;12
2,9;5;6;13
2,9;6;5;14
3;2;14;10
3;3;9;11
3;4;15;12
3;5;5;13
3;6;10;14
3,1;2;17;10
3,1;3;13;11
3,1;4;12;12
3,1;5;5;13
3,1;6;8;14
3,2;2;15;10
3,2;3;13;11
3,2;4;6;12
3,2;5;4;13
3,2;6;7;14
3,3;2;17;10
3,3;3;15;11
3,3;4;6;12
3,3;5;7;13
3,3;6;5;14
3,4;2;4;10
3,4;3;6;11
3,4;4;15;12
3,4;5;10;13
3,4;6;6;14
3,5;2;6;10
3,5;3;4;11
3,5;4;4;12
3,5;5;11;13
3,5;6;12;14
3,6;2;16;10
3,6;3;14;11
3,6;4;12;12
3,6;5;7;13
3,6;6;6;14
3,7;2;13;9
3,7;3;16;9
3,7;4;5;9
3,7;5;15;9
3,7;6;18;9
3,8;2;17;9
3,8;3;16;9
3,8;4;15;9
3,8;5;12;9
3,8;6;14;9
3,9;2;5;9
3,9;3;5;9
3,9;4;5;9
3,9;5;9;9
3,9;6;18;9
4;2;11;9
4;3;5;9
4;4;20;9
4;5;19;9
4;6;17;9
4,1;2;9;9
4,1;3;5;9
4,1;4;5;9
4,1;5;17;9
4,1;6;13;9
4,2;2;16;9
4,2;3;4;9
4,2;4;5;9
4,2;5;15;9
4,2;6;8;9
4,3;2;19;9
4,3;3;13;9
4,3;4;15;9
4,3;5;5;9
4,3;6;16;9
4,4;2;16;9
4,4;3;17;9
4,4;4;15;9
4,4;5;6;9
4,4;6;6;9
4,5;2;6;9
4,5;3;12;9
4,5;4;9;9
4,5;5;5;9
4,5;6;16;9
4,6;2;16;9
4,6;3;17;9
4,6;4;6;9
4,6;5;6;9
4,6;6;6;9
4,7;2;18;9
4,7;3;5;9
4,7;4;5;9
4,7;5;19;9
4,7;6;16;9
4,8;2;10;9
4,8;3;15;9
4,8;4;18;9
4,8;5;13;9
4,8;6;8;9
4,9;2;4;9
4,9;3;4;9
4,9;4;13;9
4,9;5;9;9
4,9;6;18;9
5;2;6;9
5;3;20;9
5;4;11;9
5;5;16;9
5;6;19;9
