a;b;Coupe min;Nombre de contractions
5,1;4;0;3
5,1;5;0;3
5,1;6;0;3
2,2;2;1;24
2,2;3;1;34
2,2;4;1;46
2,2;5;1;60
2,2;6;1;76
2,3;2;5;23
2,3;3;8;32
2,3;4;1;43
2,3;5;1;56
2,3;6;6;71
2,4;2;11;21
2,4;3;1;26
2,4;4;1;31
2,4;5;8;36
2,4;6;8;41
2,5;2;14;21
2,5;3;7;26
2,5;4;9;31
2,5;5;5;36
2,5;6;1;41
2,6;2;21;20
2,6;3;13;24
2,6;4;5;28
2,6;5;1;32
2,6;6;1;36
2,7;2;12;20
2,7;3;1;24
2,7;4;5;28
2,7;5;6;32
2,7;6;1;36
2,8;2;5;20
2,8;3;24;24
2,8;4;5;28
2,8;5;1;32
2,8;6;1;36
2,9;2;1;20
2,9;3;5;24
2,9;4;1;28
2,9;5;1;32
2,9;6;4;36
3;2;14;20
3;3;16;24
3;4;1;28
3;5;15;32
3;6;6;36
3,1;2;22;19
3,1;3;1;22
3,1;4;12;25
3,1;5;8;28
3,1;6;1;31
3,2;2;5;19
3,2;3;5;22
3,2;4;1;25
3,2;5;1;28
3,2;6;1;31
3,3;2;1;19
3,3;3;1;22
3,3;4;1;25
3,3;5;1;28
3,3;6;5;31
3,4;2;12;19
3,4;3;1;22
3,4;4;1;25
3,4;5;1;28
3,4;6;1;31
3,5;2;16;19
3,5;3;8;22
3,5;4;1;25
3,5;5;12;28
3,5;6;1;31
3,6;2;5;18
3,6;3;13;20
3,6;4;1;22
3,6;5;4;24
3,6;6;1;26
3,7;2;15;18
3,7;3;1;20
3,7;4;4;22
3,7;5;1;24
3,7;6;1;26
3,8;2;1;18
3,8;3;1;20
3,8;4;1;22
3,8;5;9;24
3,8;6;1;26
3,9;2;17;18
3,9;3;14;20
3,9;4;1;22
3,9;5;9;24
3,9;6;21;26
4;2;1;18
4;3;5;20
4;4;1;22
4;5;1;24
4;6;9;26
4,1;2;8;18
4,1;3;28;20
4,1;4;4;22
4,1;5;1;24
4,1;6;8;26
4,2;2;1;18
4,2;3;6;20
4,2;4;1;22
4,2;5;1;24
4,2;6;1;26
4,3;2;8;18
4,3;3;20;20
4,3;4;1;22
4,3;5;5;24
4,3;6;1;26
4,4;2;22;18
4,4;3;8;20
4,4;4;9;22
4,4;5;1;24
4,4;6;4;26
4,5;2;1;18
4,5;3;1;20
4,5;4;5;22
4,5;5;1;24
4,5;6;1;26
4,6;2;9;17
4,6;3;1;18
4,6;4;7;19
4,6;5;16;20
4,6;6;1;21
4,7;2;14;17
4,7;3;18;18
4,7;4;19;19
4,7;5;5;20
4,7;6;9;21
4,8;2;12;17
4,8;3;12;18
4,8;4;22;19
4,8;5;8;20
4,8;6;1;21
4,9;2;21;17
4,9;3;9;18
4,9;4;22;19
4,9;5;1;20
4,9;6;5;21
5;2;14;17
5;3;9;18
5;4;1;19
5;5;1;20
5;6;29;21
5,1;2;15;17
5,1;3;1;18
5,1;4;9;19
5,1;5;15;20
5,1;6;1;21
2,2;2;70;31
2,2;3;17;46
2,2;4;14;65
2,2;5;13;88
2,2;6;17;115
2,3;2;39;29
2,3;3;13;40
2,3;4;19;53
2,3;5;15;68
2,3;6;13;85
2,4;2;16;29
2,4;3;16;40
2,4;4;14;53
2,4;5;16;68
2,4;6;13;85
2,5;2;14;28
2,5;3;64;38
2,5;4;30;50
2,5;5;14;64
2,5;6;13;80
2,6;2;32;28
2,6;3;14;38
2,6;4;15;50
2,6;5;13;64
2,6;6;13;80
2,7;2;84;26
2,7;3;19;32
2,7;4;13;38
2,7;5;16;44
2,7;6;42;50
2,8;2;14;25
2,8;3;19;30
2,8;4;58;35
2,8;5;28;40
2,8;6;15;45
2,9;2;77;25
2,9;3;26;30
2,9;4;30;35
2,9;5;41;40
2,9;6;41;45
3;2;80;25
3;3;77;30
3;4;15;35
3;5;54;40
3;6;33;45
3,1;2;74;25
3,1;3;69;30
3,1;4;39;35
3,1;5;15;40
3,1;6;16;45
3,2;2;28;24
3,2;3;45;28
3,2;4;46;32
3,2;5;26;36
3,2;6;15;40
3,3;2;86;24
3,3;3;17;28
3,3;4;29;32
3,3;5;14;36
3,3;6;31;40
3,4;2;28;24
3,4;3;82;28
3,4;4;67;32
3,4;5;43;36
3,4;6;41;40
3,5;2;85;24
3,5;3;45;28
3,5;4;14;32
3,5;5;15;36
3,5;6;27;40
3,6;2;30;24
3,6;3;16;28
3,6;4;69;32
3,6;5;30;36
3,6;6;14;40
3,7;2;85;23
3,7;3;52;26
3,7;4;39;29
3,7;5;28;32
3,7;6;56;35
3,8;2;14;23
3,8;3;31;26
3,8;4;13;29
3,8;5;39;32
3,8;6;13;35
3,9;2;64;23
3,9;3;73;26
3,9;4;15;29
3,9;5;56;32
3,9;6;32;35
4;2;18;23
4;3;33;26
4;4;29;29
4;5;19;32
4;6;19;35
4,1;2;37;23
4,1;3;40;26
4,1;4;42;29
4,1;5;61;32
4,1;6;27;35
4,2;2;16;23
4,2;3;43;26
4,2;4;45;29
4,2;5;17;32
4,2;6;15;35
4,3;2;82;23
4,3;3;80;26
4,3;4;49;29
4,3;5;27;32
4,3;6;45;35
4,4;2;43;22
4,4;3;30;24
4,4;4;16;26
4,4;5;14;28
4,4;6;29;30
4,5;2;85;22
4,5;3;40;24
4,5;4;28;26
4,5;5;15;28
4,5;6;31;30
4,6;2;66;22
4,6;3;55;24
4,6;4;43;26
4,6;5;45;28
4,6;6;46;30
4,7;2;64;22
4,7;3;16;24
4,7;4;31;26
4,7;5;69;28
4,7;6;61;30
4,8;2;65;22
4,8;3;15;24
4,8;4;16;26
4,8;5;43;28
4,8;6;33;30
4,9;2;14;22
4,9;3;16;24
4,9;4;41;26
4,9;5;52;28
4,9;6;30;30
5;2;17;22
5;3;45;24
5;4;15;26
5;5;47;28
5;6;14;30
5,1;2;52;22
5,1;3;42;24
5,1;4;16;26
5,1;5;19;28
5,1;6;28;30
2,2;2;53;33
2,2;3;24;49
2,2;4;15;69
2,2;5;14;93
2,2;6;12;121
2,3;2;53;33
2,3;3;14;49
2,3;4;11;69
2,3;5;18;93
2,3;6;17;121
2,4;2;65;30
2,4;3;45;41
2,4;4;12;54
2,4;5;18;69
2,4;6;14;86
2,5;2;62;30
2,5;3;16;41
2,5;4;38;54
2,5;5;12;69
2,5;6;14;86
2,6;2;15;29
2,6;3;15;39
2,6;4;31;51
2,6;5;12;65
2,6;6;16;81
2,7;2;59;27
2,7;3;15;33
2,7;4;59;39
2,7;5;15;45
2,7;6;12;51
2,8;2;12;27
2,8;3;55;33
2,8;4;42;39
2,8;5;51;45
2,8;6;27;51
2,9;2;48;26
2,9;3;56;31
2,9;4;24;36
2,9;5;12;41
2,9;6;56;46
3;2;60;26
3;3;40;31
3;4;38;36
3;5;18;41
3;6;41;46
3,1;2;28;26
3,1;3;47;31
3,1;4;14;36
3,1;5;46;41
3,1;6;39;46
3,2;2;54;26
3,2;3;41;31
3,2;4;12;36
3,2;5;12;41
3,2;6;50;46
3,3;2;14;25
3,3;3;11;29
3,3;4;58;33
3,3;5;14;37
3,3;6;50;41
3,4;2;12;25
3,4;3;48;29
3,4;4;14;33
3,4;5;54;37
3,4;6;38;41
3,5;2;33;25
3,5;3;30;29
3,5;4;27;33
3,5;5;12;37
3,5;6;18;41
3,6;2;45;25
3,6;3;11;29
3,6;4;12;33
3,6;5;21;37
3,6;6;14;41
3,7;2;42;25
3,7;3;33;29
3,7;4;11;33
3,7;5;68;37
3,7;6;14;41
3,8;2;46;25
3,8;3;64;29
3,8;4;14;33
3,8;5;18;37
3,8;6;30;41
3,9;2;64;24
3,9;3;62;27
3,9;4;66;30
3,9;5;25;33
3,9;6;29;36
4;2;32;24
4;3;12;27
4;4;22;30
4;5;34;33
4;6;26;36
4,1;2;24;24
4,1;3;14;27
4,1;4;15;30
4,1;5;67;33
4,1;6;49;36
4,2;2;73;24
4,2;3;17;27
4,2;4;44;30
4,2;5;15;33
4,2;6;45;36
4,3;2;70;24
4,3;3;44;27
4,3;4;14;30
4,3;5;12;33
4,3;6;50;36
4,4;2;55;24
4,4;3;30;27
4,4;4;24;30
4,4;5;12;33
4,4;6;30;36
4,5;2;18;24
4,5;3;42;27
4,5;4;47;30
4,5;5;46;33
4,5;6;12;36
4,6;2;17;24
4,6;3;47;27
4,6;4;14;30
4,6;5;45;33
4,6;6;15;36
4,7;2;24;23
4,7;3;30;25
4,7;4;12;27
4,7;5;58;29
4,7;6;41;31
4,8;2;41;23
4,8;3;49;25
4,8;4;12;27
4,8;5;35;29
4,8;6;34;31
4,9;2;50;23
4,9;3;47;25
4,9;4;12;27
4,9;5;32;29
4,9;6;12;31
5;2;63;23
5;3;27;25
5;4;18;27
5;5;57;29
5;6;42;31
5,1;2;63;23
5,1;3;11;25
5,1;4;24;27
5,1;5;24;29
5,1;6;79;31
2,2;2;0;14
2,2;3;0;17
2,2;4;0;20
2,2;5;0;23
2,2;6;0;26
2,3;2;0;14
2,3;3;0;17
2,3;4;0;20
2,3;5;0;23
2,3;6;0;26
2,4;2;0;14
2,4;3;0;17
2,4;4;0;20
2,4;5;0;23
2,4;6;0;26
2,5;2;0;14
2,5;3;0;17
2,5;4;0;20
2,5;5;0;23
2,5;6;0;26
2,6;2;0;13
2,6;3;0;15
2,6;4;0;17
2,6;5;0;19
2,6;6;0;21
2,7;2;0;13
2,7;3;0;15
2,7;4;0;17
2,7;5;0;19
2,7;6;0;21
2,8;2;0;13
2,8;3;0;15
2,8;4;0;17
2,8;5;0;19
2,8;6;0;21
2,9;2;0;13
2,9;3;0;15
2,9;4;0;17
2,9;5;0;19
2,9;6;0;21
3;2;0;13
3;3;0;15
3;4;0;17
3;5;0;19
3;6;0;21
3,1;2;0;13
3,1;3;0;15
3,1;4;0;17
3,1;5;0;19
3,1;6;0;21
3,2;2;0;13
3,2;3;0;15
3,2;4;0;17
3,2;5;0;19
3,2;6;0;21
3,3;2;0;12
3,3;3;0;13
3,3;4;0;14
3,3;5;0;15
3,3;6;0;16
3,4;2;0;12
3,4;3;0;13
3,4;4;0;14
3,4;5;0;15
3,4;6;0;16
3,5;2;0;12
3,5;3;0;13
3,5;4;0;14
3,5;5;0;15
3,5;6;0;16
3,6;2;0;12
3,6;3;0;13
3,6;4;0;14
3,6;5;0;15
3,6;6;0;16
3,7;2;0;12
3,7;3;0;13
3,7;4;0;14
3,7;5;0;15
3,7;6;0;16
3,8;2;0;12
3,8;3;0;13
3,8;4;0;14
3,8;5;0;15
3,8;6;0;16
3,9;2;0;12
3,9;3;0;13
3,9;4;0;14
3,9;5;0;15
3,9;6;0;16
4;2;0;12
4;3;0;13
4;4;0;14
4;5;0;15
4;6;0;16
4,1;2;0;12
4,1;3;0;13
4,1;4;0;14
4,1;5;0;15
4,1;6;0;16
4,2;2;0;12
4,2;3;0;13
4,2;4;0;14
4,2;5;0;15
4,2;6;0;16
4,3;2;0;12
4,3;3;0;13
4,3;4;0;14
4,3;5;0;15
4,3;6;0;16
4,4;2;0;11
4,4;3;0;11
4,4;4;0;11
4,4;5;0;11
4,4;6;0;11
4,5;2;0;11
4,5;3;0;11
