Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
78,karger,345,172,27
79,karger_recursive,165,0,4400
79,karger_improved,165,71,38
79,karger,165,61,19
80,karger_recursive,320,18,10192
80,karger_improved,320,23,52
80,karger,320,148,26
81,karger_recursive,40,0,1008
81,karger_improved,40,18,22
81,karger,40,10,11
82,karger_recursive,223,0,6624
82,karger_improved,223,63,44
82,karger,223,76,22
83,karger_recursive,3,0,24
83,karger_improved,3,1,4
83,karger,3,1,2
84,karger_recursive,105,0,1920
84,karger_improved,105,42,28
84,karger,105,52,14
85,karger_recursive,295,19,8112
85,karger_improved,295,121,48
85,karger,295,109,24
86,karger_recursive,0,0,0
86,karger_improved,0,0,0
86,karger,0,0,0
87,karger_recursive,37,6,400
87,karger_improved,37,17,16
87,karger,37,6,8
88,karger_recursive,26,0,600
88,karger_improved,26,11,18
88,karger,26,11,9
89,karger_recursive,135,0,2304
89,karger_improved,135,16,30
89,karger,135,52,15
90,karger_recursive,82,0,1568
90,karger_improved,82,11,26
90,karger,82,33,13
91,karger_recursive,162,0,3800
91,karger_improved,162,75,36
91,karger,162,83,18
92,karger_recursive,62,1,9100
92,karger_improved,62,4,50
92,karger,62,1,25
93,karger_recursive,3,0,24
93,karger_improved,3,1,4
93,karger,3,1,2
94,karger_recursive,299,18,10192
94,karger_improved,299,117,52
94,karger,299,57,26
95,karger_recursive,169,0,5082
95,karger_improved,169,14,40
95,karger,169,44,20
96,karger_recursive,0,0,0
96,karger_improved,0,0,0
96,karger,0,0,0
97,karger_recursive,8,1,120
97,karger_improved,8,2,10
97,karger,8,1,5
98,karger_recursive,35,0,11700
98,karger_improved,35,0,52
98,karger,35,0,26
99,karger_recursive,18,0,4488
99,karger_improved,18,0,34
99,karger,18,0,17
100,karger_recursive,49,0,2754
100,karger_improved,49,15,32
100,karger,49,4,16
101,karger_recursive,31,4,400
101,karger_improved,31,14,16
101,karger,31,15,8
102,karger_recursive,48,0,1274
102,karger_improved,48,22,24
102,karger,48,16,12
103,karger_recursive,25,5,192
103,karger_improved,25,13,12
103,karger,25,13,6
104,karger_recursive,84,0,6624
104,karger_improved,84,8,44
104,karger,84,3,22
105,karger_recursive,40,0,600
105,karger_improved,40,6,18
105,karger,40,13,9
106,karger_recursive,2,0,16
106,karger_improved,2,0,4
106,karger,2,0,2
107,karger_recursive,294,23,7176
107,karger_improved,294,44,46
107,karger,294,80,23
108,karger_recursive,58,1,7176
108,karger_improved,58,1,46
108,karger,58,2,23
109,karger_recursive,240,11,12600
109,karger_improved,240,34,56
109,karger,240,15,28
110,karger_recursive,3,0,24
110,karger_improved,3,1,4
110,karger,3,1,2
111,karger_recursive,49,0,1274
111,karger_improved,49,25,24
111,karger,49,10,12
112,karger_recursive,83,2,8112
112,karger_improved,83,2,48
112,karger,83,7,24
113,karger_recursive,53,1,9100
113,karger_improved,53,4,50
113,karger,53,2,25
114,karger_recursive,126,0,5808
114,karger_improved,126,13,42
114,karger,126,9,21
