Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
2,karger_recursive_a1.4_b120,138,9,2160
2,karger_recursive_a1.4_b140,138,9,2520
2,karger_recursive_a1.4_b160,138,9,2880
2,karger_recursive_a1.4_b180,138,9,3240
2,karger_recursive_a1.4_b200,138,9,3600
2,karger_recursive_a1.4_b220,138,9,3960
2,karger_recursive_a1.4_b240,138,9,4320
2,karger_recursive_a1.4_b260,138,9,4680
2,karger_recursive_a1.4_b280,138,9,5040
2,karger_recursive_a1.4_b300,138,9,5400
2,karger_recursive_a1.4_b320,138,9,5760
2,karger_recursive_a1.4_b340,138,9,6120
2,karger_recursive_a1.4_b360,138,9,6480
2,karger_recursive_a1.4_b380,138,9,6840
2,karger_recursive_a1.4_b400,138,9,7200
2,karger_recursive_a1.5_b20,138,12,360
2,karger_recursive_a1.5_b40,138,12,720
2,karger_recursive_a1.5_b60,138,12,1080
2,karger_recursive_a1.5_b80,138,12,1440
2,karger_recursive_a1.5_b100,138,9,1800
2,karger_recursive_a1.5_b120,138,12,2160
2,karger_recursive_a1.5_b140,138,9,2520
2,karger_recursive_a1.5_b160,138,9,2880
2,karger_recursive_a1.5_b180,138,9,3240
2,karger_recursive_a1.5_b200,138,9,3600
2,karger_recursive_a1.5_b220,138,9,3960
2,karger_recursive_a1.5_b240,138,9,4320
2,karger_recursive_a1.5_b260,138,9,4680
2,karger_recursive_a1.5_b280,138,9,5040
2,karger_recursive_a1.5_b300,138,9,5400
2,karger_recursive_a1.5_b320,138,9,5760
2,karger_recursive_a1.5_b340,138,9,6120
2,karger_recursive_a1.5_b360,138,9,6480
2,karger_recursive_a1.5_b380,138,9,6840
2,karger_recursive_a1.5_b400,138,9,7200
2,karger_recursive_a1.6_b20,138,13,360
2,karger_recursive_a1.6_b40,138,9,720
2,karger_recursive_a1.6_b60,138,9,1080
2,karger_recursive_a1.6_b80,138,9,1440
2,karger_recursive_a1.6_b100,138,9,1800
2,karger_recursive_a1.6_b120,138,9,2160
2,karger_recursive_a1.6_b140,138,9,2520
2,karger_recursive_a1.6_b160,138,12,2880
2,karger_recursive_a1.6_b180,138,9,3240
2,karger_recursive_a1.6_b200,138,9,3600
2,karger_recursive_a1.6_b220,138,9,3960
2,karger_recursive_a1.6_b240,138,9,4320
2,karger_recursive_a1.6_b260,138,9,4680
2,karger_recursive_a1.6_b280,138,9,5040
2,karger_recursive_a1.6_b300,138,9,5400
2,karger_recursive_a1.6_b320,138,9,5760
2,karger_recursive_a1.6_b340,138,9,6120
2,karger_recursive_a1.6_b360,138,9,6480
2,karger_recursive_a1.6_b380,138,9,6840
2,karger_recursive_a1.6_b400,138,9,7200
2,karger_recursive_a1.7_b20,138,0,380
2,karger_recursive_a1.7_b40,138,0,760
2,karger_recursive_a1.7_b60,138,0,1140
2,karger_recursive_a1.7_b80,138,0,1520
2,karger_recursive_a1.7_b100,138,0,1900
2,karger_recursive_a1.7_b120,138,0,2280
2,karger_recursive_a1.7_b140,138,0,2660
2,karger_recursive_a1.7_b160,138,0,3040
2,karger_recursive_a1.7_b180,138,0,3420
2,karger_recursive_a1.7_b200,138,0,3800
2,karger_recursive_a1.7_b220,138,0,4180
2,karger_recursive_a1.7_b240,138,0,4560
2,karger_recursive_a1.7_b260,138,0,4940
2,karger_recursive_a1.7_b280,138,0,5320
2,karger_recursive_a1.7_b300,138,0,5700
2,karger_recursive_a1.7_b320,138,0,6080
2,karger_recursive_a1.7_b340,138,0,6460
2,karger_recursive_a1.7_b360,138,0,6840
2,karger_recursive_a1.7_b380,138,0,7220
2,karger_recursive_a1.7_b400,138,0,7600
2,karger_recursive_a1.8_b20,138,0,380
2,karger_recursive_a1.8_b40,138,0,760
2,karger_recursive_a1.8_b60,138,0,1140
2,karger_recursive_a1.8_b80,138,0,1520
2,karger_recursive_a1.8_b100,138,0,1900
2,karger_recursive_a1.8_b120,138,0,2280
2,karger_recursive_a1.8_b140,138,0,2660
2,karger_recursive_a1.8_b160,138,0,3040
2,karger_recursive_a1.8_b180,138,0,3420
2,karger_recursive_a1.8_b200,138,0,3800
